4,always a buick,Mary l zimmerman ,02/06/2016,4,4,5,,,5,5,4,5,,,,,
1,High Maintenance GM product.,Ron ,01/28/2016,2,3,3,,,1,3,2,3,,,"2008 Buick, currently has 53,000 miles.  From 30,000 miles to current, the following items have been replaced,  1/2 shaft in steering, power steering rack, power steering pump, front struts, rear air shocks, brakes on all 4 corners, rear brake calipers (leaking), new battery.  Currently has an engine oil leak.",,
4,"If you can find it, buy it!",Joe ,11/09/2015,4,4,4,,,5,4,5,4,,,Very reliable family sedan. My 4th Buick over 30 years. And I sold them too!!,,
1,less then a 1 star,marian newhouse ,08/08/2015,,,,,,,,,,,,it is the worst car ever.,,
4.5,"Great car, maybe a touch expensive",rohkey ,08/05/2014,,,4,5,5,4,,4,5,4,5,"A little baffled by some of the poor reviews I have seen. I'm 24 and have been driving this car for 2 years now, and I enjoyit. It's spacious, comfortable, quiet, and powerful enough. Never noticed any major handling issues other than the large turn radius, and sometimes it can be difficult to park in large spots. Also there seem to be a few blind spots that can get you in trouble if you're not cautious. The interior isn't as fancy/elegant as I would expect, but it's not bad, and I like how the exterior looks. The trunk is pretty huge, and there is plenty of room for my 6'5'' frame (something I've had problems with in other cars like the Malibu and Impala). MPG's are pretty low, however.",,
1.75,Buick....this car makes me sad,alpineweiss ,01/11/2011,,,2,1,3,2,,1,3,1,1,"This car is unbelievable in so many ways. Unfortunately none of them are good. The exterior styling is hideous, The car drives like you are in a sensory deprivation tank, and the interior is cheap and uninspired..unless by inspired you expect ugly and cobbled together by a committee of old car company fat cats. I have had the misfortune of being stuck with this car for 2 weeks now (loaner). I can't wait to give it back. The steering column controls are backwards and overly complicated, and everything in the interior feels like leftover parts from a 1990's car. There is good reason for this, its because they are. Most parts you find on the Lucerne have not been updated since 1994 or before.","My favorite feature is the seat warmer, honestly thats the only thing I like here. The settings wont burn your behind, nor will they leave you frigid. They got that part perfect. The grill stickers on the front quarter panels of the car are fake. An attempt at styling that seems like some marketing clown came in and said ""Hey guys! my focus group that we spent 200Million on says that people like grill thingys"" so they went and stuck them all over the front. Did i mention that they dont do anything and they are stickers? I really wanted to root for this car, i really did, but instead for my trouble i got what should have been called, the Buick Bovine. ","Dear Buick,
They truck unlock key is basically a catapult. Unless you intended this to be a siege engine for storming castles please have a look at the trunk opening speed. It opens so fast I am sure it has clocked one or more old people in the chin when opening it. The emergency brake pedal sticks about 8 inches out into the cockpit so when entering the car its like the car stuck its leg out and trips you on your way in. Lastly, please stop building cars by committee, You end up with something that is neither attractive nor functional. You spend 3 billion on RD for a car, and end up giving people what they already had except worse. You need a transfusion of new blood. Lucern is embarrassing."
4.875,Lucerne,buicklucerne ,11/02/2010,,,5,5,5,5,,5,5,4,5,"For people complaining about the speedometer being hard to see in day light, turn the lights on. It really helps. My Lucerne has day running lamps so the exterior lighs are already on. Very nice a comfortable car.","Turn signals in mirrors, heated steering wheel and seats. Magnetic ride control.",Sometimes hard to park.
4.625,Outstanding fit and finish,Steve R ,10/08/2010,,,5,5,5,5,,5,5,3,4,"The standard engine power is okay, but a little more would be better.  The handling characteristics are better than expected, although the suspension could be a bit tighter.",,
4.75,Best car I have ever owned ,Ted Strickland ,09/05/2010,,,5,5,5,5,,5,5,3,5,this Sep 4 2010 this car has been back to dealer for oil changes only.  It's a little big for my taste for then the others were too small,comfort and speed,Please oh please make the speedometer easier to read.  In daylight you can hardly see your speed
4.625,Best ever owned,Peter ,07/23/2010,,,4,5,5,5,,4,5,5,4,I have owned many cars from many makes but my 2008 Lucerne is the best car that I have ever owned. It rides better than any car in its price range. The handling is great for such a large car. No it does not handle like a German car but does not ride like crap over potholes either. No problems at all. The 3800 engine and automatic are among the high quality from any make. I hope to drive this car for the next 20 years.,"everything,  just love driving it.",more power
