4,Great little commuter and outdoor rig,Stephanie ,10/25/2016,5,4,,,,5,4,4,,,,"I've had this little suv for three years now. 3rd owner. The only problems I've had was a sensor for the steering that got fixed for a couple hundred. The trunk doesn't pop open, something electrical, still need to get it checked out. But as far as gas and reliability, I've taken it to and from work and even hunting out on the dirt roads and it has proved itself a nice little rig. I put on some brand new all terrain tires. I  love the 5 speed because I can downshift and be more in control when I am on forest roads.",,
1,So done with Ford!,Veronica ,09/10/2016,1,,1,,,1,1,1,5,,,"I have always owed Ford vehicles for the last 22 years; well no more. I am moving on and will never own one again! I currently own a 2008 Ford Escape in which I bought brand new in 2007. I fell in love with it from the first moment I saw it with its Kiwi green color, moonroof, and spacious interior. As soon as I test drove it, I knew I wanted it. First off it's supposed to get 28 miles to the gallon on the highway but only gets 21. It is rusted out only on the driver side front tire well (common problem I've read online) and the paint is peeling on the drivers side of the hood. The paint on the interior finishes has rubbed off on some places, and the seats have always been a nightmare to keep clean (also common complaint). I am literally scrubbing them on a weekly basis. Water even stains them. If my kids are damp from the pool, their body shape is left on the seat until I clean them. It's so frustrating! The seat belts even stain. I don't know what from because the kids do not eat or drink inside. The bolts inside are even rusted. I have always taken care of the things I own. My Escape has always been garage kept and has been washed on a weekly basis and always washed to get the snow and salt off in the winter. It only has 67,000 miles on it and the transmission is going out. It also has a chirping noise when I first start it (also common). The drivers side window goes up slow in the cold weather and sometimes will even get stuck and I will have to wait 20 minutes to roll it up inch by inch until it's completely rolled up. Customer service from Ford completely sucks. They do not care about the customer or their complaints. There have been two recalls on it and two more common problems that should be on recall. One being the rusted out paint above the drivers side tire, which is a common complaint, and there should also be a recall for the tone ring. I've had it in the shop twice for a broken tone ring which was not cheap. I was proud to buy a Ford because it was made in the USA and didn't receive a buyout like GM. Well I no longer care about that. I will be getting a Cadillac SRX soon and can't wait! This thing has knickel and dimed me and I am done. Washing my hands of Ford! F--O--R--D--Found On The Road Dead.",,
3,Good and bad with the 2008 Escape….,Carla ,03/15/2016,,3,2,,,3,3,3,4,,,"I bought my Escape 8 years ago. Only 85,000 miles on it at this point. Here are the facts: What I have had to have fixed: since new, Liftgate rattled: numerous trips/replacement by dealership. Ford engineer stumped. Put duct tape around the too-small latch pin and it rattles no more. Automatic part of dome light quit. Replaced once, then quit again. Left it that way. Waterpump needed replaced at 75,000 miles. Control arm starting to come loose at 75,000 miles. Replaced battery and tires once. Now I have a small oil leak starting at 85,000 miles. Was told that this year of Escape is notorious for leaking oil and eventually needing a $5,000 repair to head gasket to fix. Advised me to continue to drive it the way it is, as the repair worth more than the car. Leak is very minimal, no low oil between changes. Seat coverings are horrible. Water even stains them, and you can't get the stains out. Dealer told me he has no idea how to get them out either. Interior and exterior rusting, even though 100% garaged and regularly cleaned/waxed. You be the judge.",,
5,Excellent vehicle,Chase ,02/15/2016,,5,4,,,5,4,5,4,,,Ok let me say this many post reviews based on the experiences in repair shops.  And a bad experience with minor things.  Overall the escape is a terrific vehicle as with anything it requires maintenence and fluid changes frequently as well as filters.  I only have one negative from driving on freeways. Its the moonroof noise.  I pirchased a wind deflector hopefully it helps.  Over all no problems as of yet recently inspected. Repairs not so bad. But it adds up if your not quick to take care of problems as soon as it rises.  Play it smart,,
1,DANGEROUS TO DRIVE!,Taylor ,02/12/2016,1,1,1,,,1,1,1,2,,,"My mother had purchased a brand new Ford Escape in 2008 and then gave it to me this year as my first car. I thought it would be safe to drive an SUV until the malfunctioning torque censor almost sent my boyfriend and I off the road at 75mph during our road trip across the U.S. I received a recall notice a few months before and had brought it in to fix the problem, It only took about 15 minutes and I was told everything was fine. Obviously this was NOT true and the auto repair shop we took it to in Nashville, TN emphasized it was VERY unsafe to drive and told me that they had done NOTHING when I brought it in the for the recall. We then took the car over to a Ford dealership close by and were told that it was going to cost us over $600 for something that should've been resolved under the recall. We spoke to customer service at Ford corporate and they said ""their hands were tied"" and they ""couldn't do anything for us"" because we already had it taken in for the recall. I'm extremely disappointed with how Ford handled this matter and I worry about other customers and their families if this were to happen to them too.",,
4,2008 Ford Escape XLT,Rb_osu ,11/03/2015,4,4,4,,,4,4,4,4,,,"Bought the 2008 Escape new in 2007. Loved it until about last year when we started to get nickeled and dimed on repairs. To be expected of an older car I suppose. Electrical in drivers seat went out. Front end rods needed replaced. Starter was going bad. Some of the interior was also wearing. Given the years we lived out west and now in the south, I suppose the oppresive heat likely accelerated these issues as I know people who have 2004 escapes and have had none of these issues. In the end we ultimately traded it in for a bigger vehicle as we added to our family & needed the space.",,
4.25,Awesome small SUV! ,mmckimmey ,02/12/2015,,,4,5,4,4,,4,5,5,3,"Our 2008 Escape V6 AWD is awesome! It does very well in all weather conditions. The V6 is powerful, sounds good, and gets decent MPG. If you want a 4 cylinder, get a 2009. The 2.3L 4 and 4-spd in the 2008 is woeful! Overall, build quality is excellent. A few rattles here and there, but none are pervasive or persistent. Seats are great, and the ride is super smooth! Wonderful for a long trip. The electric power steering provides good feel at high speeds, and lots of assist at parking lot speeds for easy parking. Ride height is great! Just make sure to service the transmission OFTEN and keep an eye on the levels. These have a tendency to blow cooler lines. ","Power, Comfort, Ease of use.","Stronger transmission, fix the small issues with panel fit inside."
4.25,Great small family SUV,mrjustin24 ,06/25/2014,,,4,5,4,5,,4,3,5,4,"It still had the truck styling.Too bad the new ones look like space ships.We bought it as a small, safe, family car.It completely served the purpose.It had plenty of cargo space.The seats were cloth and a rough material.Water would leave rings in the material too.However, it was reliable.","Truck styling, cargo space",Cloth interior needed work
2.125,Transmission issues,msgomez1 ,06/05/2014,,,3,3,1,1,,1,3,2,3,"Back in 2011 my 2008 Ford Escape was found to have a cracked transmission, leaking fluid, etc.This fix was covered under the extended warranty I bought when I purchased the car.Yesterday I took the car to the dealership for transmission issues and was told my transmission was shot and its a $4000 fix.Shame on Ford for doing such a subpar 'fix' job in 2011. I did try contacting Customer Service for some financial help...what a joke...in 5 minutes they decided they could not help me unless there was a recall.BTW if you call and get a 'Dylan', just hang up, he is no help.",,
1,"Terrible product, terrible customer service",kwolff1 ,02/19/2014,,,1,1,1,1,,1,1,1,1,"We bought a 2008 Escape, we were so excited to finally have what we thought was a great new car. Well that quickly turned into a nightmare.It needed a new transmission in 2013, and now the transmission is gone again. $7000 to fix!!!!Why does the transmission last only a year?? What garbage. Then on top of the product being terrible, we were treated poorly when we took it to Ford AND by the representatives we spoke to at customer service o the 1-800 number.We are taking it to Honda to trade it in like the scrap it is, and getting a car we can actually rely on!!",Nothing,
4.5,Great Little SUV - BUT slippery when wet,descape1 ,01/02/2014,,,4,5,4,5,,3,5,5,5,"I've only owned my Escape for 11 months, and I love almost everything about it.It has plenty or room, all seats are comfortable and it's fun to drive and easy to park.I have not had a single issue with it, except I think it might need a battery soon, but that's to be expected with any car that has 72,000 miles and temps around zero here in the Midwest.My only complaint is I didn't get the 4wd.Even with new tires, the front wheels spin at every start when it's raining or snowing.I'm getting used to the traction control light blinking at me (indicating the wheels have lost traction), but still very annoying.Maybe I have a lead foot for the amount of torque in the V6.","The double hatch where the glass opens independently of the full hatch.
Ride height and visibility are great.
Style looks MUCH better than the new ones.
Also, it tows my 10' pop-up camper with ease and without sagging.
Look for models with the sunroof- love it!","Because there's a new model (body style and engines) suggested improvements wouldn't matter, but... for readers: I suggest they look at 4wd models if they live in a snowy climate.
"
4.125,Dangerous ,roslynr ,06/03/2013,,,1,5,5,5,,3,5,4,5,"On May 24, 2013 while driving in the middle of a memorial day weekend rush hour traffic the lights came on in the dashboard and the suv, was not accelerating and just shut down , while trying to coast to the side of expressway this was impossible, I had to restart the truck. Once the suv restarted a short distance later it shut downagain forcing me off the expressway. Once I made it home I called the dealership who told me to contact ford and file a complaint. My truck is a 2008 ford escape. After this email I will contact the BBB , this is dangerous to myself and others in traffic. This is a law suite waiting to happen.",Great on gas,"This is not the first time this has happen with these trucks. My son owens one and his did the same thing come
find out his gas line came loose. Also by the reviews I read on line this has happen a number of times . Therefore time to contact news or whoever cares about this problem or consumers."
3.375,Stop Safely now,josephcallendr ,05/23/2013,,,3,3,3,2,,3,5,5,3,I have been driving my parents 2008 ford escape hybrid for the past 6 months twice i have had the problem where a lights comes on and on the dashboard it says to stop safely now and the engine huts off and i have to coast to the side of the road and turn the car on and off again it is really scary and not safe when that happens,great gas,
5,TRANSMISSION FLUID LEAK FROM CONDENSER,ashleyohio ,05/04/2013,,,5,5,5,5,,5,5,5,5,"My 2008 had been diagnosed with a transmission fluid leak from the condenser on May 2 2013. I am 8 months out of my warranty and 10,000 miles under my warranty. This is a $300-$800 repair.The only way to get reimbursed for this issue is after a recall has been published. Only way to get a recall is for about 150,000 complaints to be filed. They must be filed through Ford (1-888-392-3673) and through the National Highway Traffic Safety Administration (888-327-4236). It take 5-10 minutes for each of those calls and we are steps closer to a recall being issued.",,
4.375,08 Escape 4 cyl Auto Great MPGs for SUV!  Very reliable,dalebass3 ,04/03/2013,,,3,5,5,5,,5,4,5,3,We bought our escape with 46k on it and have put 40k on it since.It is a great vehicle for a small family.We are about to have a second child so we are thinking about upsizing a little.These old style boxy SUVs have more room than the newer crossovers I think.Only problem we had was when there was a carbon build up on the throttle body that was making it hard to press the gas.That was easily fixed with some carb cleaner.,,
4.375,An overall Great car,j3rry ,02/01/2013,,,4,5,4,4,,5,5,4,4,"I had this 2008 vehicle as a company car.I was fortune enough to have no financial association with this vehicle.I rode it hard, and put it away wet all the time.I found that this vehicle stood up to my abuse extremely well.I did have some problems with it.warranty fixed most of them.they replaced something that leaked (Can't remember what, sorry) and my acceleration pedal failed on me once around 15,000km.This was repaired.","the AWD is fantastic.
Can handle aggressive driving very well.

in 2011, I had to get a new work car, and chose to get another escape.
That in itself should indicate how I felt about the model.","I did have an odd transmission clunk occasionally when going into 2nd gear.
I tried to tell the dealer about it, but they could never experience the problem.
 (In 2011 - I insisted that it was a problem, I had 180,000km on this car by then and it was a $3000 bill to repair).
The changes to the tailgate and side mirrors in 2011 are very welcome improvements.

The rear seat fold down needs improvement"
1.5,"Beware of Ford Escape, Beware!",ahwilson ,12/17/2012,,,1,2,1,1,,2,2,2,1,"I purchased a 2008 Ford Escape in August 2007, and about 8 days after purchase the accelerator cable line broke.The dealer chose to repair the care, even though I expressed concern and worry about keeping the car.I immediately notified National Highway Safety.The dealer could not explain the malfunction.Cable line broke again at about 15,000 miles.This car has multiple problems.Windows freeze, and won't roll up..even in summer.The fabric seats stains very quickly and car offered cleaning of seats and carpet for additional.Every time I presented it for cleaning, the dealer never had appropriate staff.This add-on cost is a rip off.The keys to car wear down.I hate it!",,
2.5,56k miles on Escape XLT and blown head gasket!!,mariposa7684 ,12/08/2012,,,3,3,1,2,,3,4,1,3,"Between last oil change/inspection @dealership (everything looked good), and the one this week, car developed an oil leak.No oil on driveway to tip me off.Leakage seen when car on lift-oil was being sprayed on underside. Since source of leak not readily obvious, had dye test done.When car seen yesterday, quite a bit of oil had leaked out.Test points to blown head gasket.Aside from leak, had absolutely no indication there was a problem:no heavy exhaust, no idiot lights on. The bright side is that it was caught before I broke down, killed the engine, etc.I'm posting this mainly to vent.One thing is for absolute sure:I will never, ever buy another Ford.",,
