5,Can a Mini Van be Classy?,Jerry Maske ,11/24/2016,5,5,5,,,5,5,5,4,,,"This one is.  I keep it clean and it's a pleasure to ride in.  I have knee and hip issues, so being up in the air make getting in and out a whole lot easier.  It's been good to us and I expect it to continue.",,
5,All I wanted n a minvan,David Exley ,08/27/2016,5,5,5,,,5,,5,5,,,"Have had this car for 8 years and have had no problems. Would buy again without hesitation. Only down side was mileage, but don't know what similar vans do. Can haul 4 adults plus 2 smaller people on backseat with no problem. Runs great with same acceleration. Easy to get in and out which becomes more and more difficult  as you get older and joints don't not move like they did when younger. Van is a 2008 Honda Odyssey bought new.",,
2,Poor Tranny,JR ,05/19/2016,,,,,,,,2,,,,Have had nothing but problems with the transmission.,,
5,Odyssey my Odyssey,Paas ,02/22/2016,5,4,5,,,5,5,4,5,,,,,
5,Honda's Are Wonderful,Suzan Rollins ,11/15/2015,5,5,5,,,5,4,4,5,,,,,
2,VCM a total flaw,Herb Tolawinski ,09/20/2015,1,1,5,,,1,3,3,5,,,"Wish I could like the car but I'm tired of the repeated visits to the dealer to fix what really is a faulty engineering issue.  VCM creates more problems than it solves.  I wish that wasn't so.  The Honda techs are saying this and, almost, apologetic about it.  I wish that I could do my part to cut down on fuel consumption to be environmentally friendly. The problem is, the poorly implemented VCM causes me to go through 5 quarts of oil every 5,000 miles. I've had to replace cylinder rings and motor mounts and things are still not right. There's a TSB for this that's supposed to cover 2008+ vehicles but, for whatever reason, it doesn't apply to mine.  So I'm stuck with the options to sell it (and pass this nightmare on to someone else who will develop the same feelings about Honda as I) or to remain on a first name basis with the Service Manager.",,
4,Older ones were better,craig ,08/09/2015,,4,5,,,4,4,4,4,,,"2006 was one of the last year the Honda Van was really a good. Our 2008 has issues with the sliding doors, loose window trim on the sides and this crazy melting window glue that looks like black tar. A real pain to clean off.  It seems to be a southern US thing with extreme heat or reflected heat on hot days, such as store windows back onto the car. Were looking for a new car and for the first time in 10 years it will not be a Honda/ Shame they could not stay focused on the details.",,
2.375,No More!,Tony Cruz ,03/03/2015,,,3,4,2,1,,2,3,1,3,"I bought my van with 30K miles, and now nearly 90K miles I had a major engine failure (cylinder 5 blew).  Honda knows there have been problems with this particular year, yet, will not make me whole.  My warranty, of course, was useless.  I was over my miles by 200 miles, all highway miles en route to my father in laws funeral.  They didn't do sqaut for me!  Let's just say I will not be buying another honda again.  They're no longer 'reliable' to me and they produced an inferior product.  I've got two old Fords that are still kicking!  I'll be buying American moving forward...thanks to honda.",What good are features if the damn car is not reliable!,"My impression is you have cut corners in production or something.  I spent nearly $24K plus interest to buy this van on the BELIEF it would be reliable (even new used), because it was a HONDA.  How foolish I was and how do I truly regret making this buy.  

There is something wrong with the engine in the production model and you are perfectly willing to let the consumer bear the burden for your lack of engineering effort and honesty.  Forget the model, your engines are supposed to be one of the most envied, with a long history of useful life.  What happened?  Is the need to cut cost so strong, so needed by your shareholders, that you're willing to lose your reputation in the process? "
5,My Favorite Van Ever!!!,undy6 ,12/23/2014,,,5,5,5,5,,5,5,5,5,"I've had 3 Odysseys - an '07 EX-L DVD, an '08 EX-L w/NAV & DVD and a '12 Touring Elite. I've had a lot of cars, SUV's and minivans and the '08 Odyssey was my fav by far! I actually think it was better than the '12 Odyssey Touring Elite we leased.  Zero issues, super practical features & layout, easy and comfortable to drive....I could go on and on. Only reason I don't still have it is because I was having issues getting traction in the snow (lived in Denver at the time) so I traded for a 4WD Nissan Armada. I regretted that decision almost immediately, still miss that van 3 yrs later! Hindsight, I really wish I would've tried putting on a better set of tires before trading it in :-(","Easy to drive bc it feels smaller than it is, instrument cluster & gauges are easy to read, love how the 2nd row middle seatback folds down to become a tray table with cup holders, smooth ride, 2nd row seats can be moved side by side, 2 glove compartments, super reliable, cheap & easy to maintain, comfy seats, power sliding doors (enough said)","Road noise could get a bit loud, 2nd row middle seat was def on the small side, stereo speakers/sound not very good, gas mileage below stated - about 14-15 mpg city. Factory tires are horrendous for driving in the snow, highly recommend buying a better set of tires for it! "
4.625,1st owner & 5 1/2 yrs later I am still happy!,billybeefcake ,05/28/2014,,,4,4,5,5,,5,5,5,4,"My wife and I picked out a 2008 Honda Odyssey EX-L 5 1/2 years ago with 20 miles on it. We now have just over 73,000 on the vehicle, and we are even more happy now than when we purchased the van because nothing has gone wrong.There has been several recalls such as the brakes, the transmission reprogramming, and cabin noise, but Honda was pretty good (once they acknowledged the issues) at taking care of them. With a fully loaded van (family/cargo) on a flat road I can get 27/28 mpg easily. In town she avg. 18-20 depending on how much a/c we are using. As for us we have had a good experience. ",,
