1,Worse car I've ever owned,Tim G ,09/23/2016,2,2,3,,,1,3,1,3,,,So many problems I hope I can remember them all.At 33k miles I started having problems with the vehicle shutting off when trying to accelerate from a complete stop.Not a great problem to have when turning in front of oncoming traffic.After many days Hyundai finally found a pin loose under the dash and also a bad catalytic converter.At 45k the fuel level sensor went bad causing a inaccurate fuel gauge.At 49k a new stalling problem started.When slowing down all the engine and all electrical would shutdown forcing me to drift to the side of road and attempt to restart.That was the last straw in my Hyundai nightmare.I promptly traded the lemon in and couldn't be happier having something reliable now.Will never purchase a Hyundai ever again or suggest buying one to a friend or family member.,,
4,Great Suv,"e, comer ",07/26/2016,22.5,4,4,,,4,5,4,4,,,"My family and I are pretty pleased with our purchase.  The suv is roomy but also small enough to handle & park easily.  We love it.   We had an easy time purchasing the auto from the dealer but the dealer once we went off the lot didn't care what happened after that.  We had two incidents happen as we drove off the lot and one has not been addressed yet by them...  yet they state that the autos go thru a 37 pt inspection.   Will probably not buy from this dealership again, but will definitely buy another Suv like this one as we are enjoying it.",,
5,GREAT COMFORT AND WONDERFUL PRICE,C.Silor ,06/12/2016,5,5,5,,,5,5,5,5,,,"Before I bought this SUV I did my homework, looked at all issues and prices and many pages of reviews from other owners, I love the wider stance it has, my '04 Jeep Liberty limited was narrow and very cramped, the A/C is great, shifting is smooth, I bought a 2008 Hyundai Santa Fe GLS 2.7liter FWD 4speed automatic tranny, it rides smooth, MY husband is 6'2 and he said it's like sitting in a recliner, quiet cabin, rocking sound system, great location of vents, for passengers, amazing storage space, (my aunt just bought a 2015 Cadillac SUV and it has small storage area no spare tire or jack yuk and it feels cramped) when she seen my SUV she was amazed at the room and the price I got it used in 6/2016 with 67403 miles on it for $9500 I have searched around and found I got a HELL of a DEAL... Super happy!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",,
5,Best Car I've Ever Owned,Brandy ,03/31/2016,5,5,5,,,5,5,4,5,,,"I got this car in August of 2015. I traded in my old 2005 Chevy Aveo for something large enough for my growing family and this car was the first one I saw. So far, we've had no problems. The only thing I noticed was the little skip in the car if you start breaking for a red light. I'm not entirely sure if it's just because of an internal problem or if the breaks need a readjustment but I am in love with this car!!",,
5,Loved my Santa Fe,Shannon Quinn ,03/27/2016,,,,,,,,5,5,,,,,
5,Smooth ride,Peggy ,03/14/2016,4,4,3,,,5,4,4,4,,,Don't get the light interior,,
5,Best car I've owned,Chris G ,01/27/2016,5,4,5,,,5,5,4,4,,,"I've owned 5 cars in my lifetime (Mitsubishi, another Hyundai, Volvo, Honda). This has been the best vehicle I've owned thus far. I purchased it used with 15K miles on it for $17500 and the dealership kept the 100K mile warranty on it. I just recently hit 110K miles on it in early 2016, and I've only had 2 problems with it since purchase. The CD player recently stopped working (stuck CD) and the coolant system blew out and required a complete replacement at 30K (warranty covered). Despite those 2 issues, I'm still in love with this car. I have been with it in Florida driving around the city and frequent tropical storms without problems, it has taken me to Virginia/DC/Connecticut and handled the snow/ice very well (despite being 2WD), and currently is enduring Texas weather without problems.It comfortably fits 4 people (5 if the person in the middle is small).",,
4,Versatile and reliable,Bryan Rauworth ,01/17/2016,4,3,4,,,5,5,4,3,,,,,
2,Waste of money,Meredith ,01/14/2016,1,2,3,,,1,3,3,4,,,"Since purchasing my Santa Fe a year ago, I have had nothing but problems. Within 2 weeks I had to spend over $1500 on repairs, and that wasn't the end. The windshield was not placed in properly (apparently a common problem with these cars), causing the passenger side to have a large leak any time it rains. The gas gauge does not read properly, and will say the tank is empty a day after it is filled up. The seat heaters do not work (the passenger button controls the driver seat, and the passenger heater does not work at all). The a/c and heat are on constantly at full blast, there is no way to turn it down or off. I could go on about the problems I have had with this car, and unfortunately Hyundai will  not cover any of the costs to repair these problems. I am counting down the days until I can buy a new one. I will never buy a Hyundai again.",,
4,noise issue,carol ,08/04/2015,,,4,,,4,,4,5,,,I just bought used 2008 Santa Fe pads and rotors replaced by dealer 1 wheel bearing 2 new tires after about a week it is making a clunking noise when braking and still getting the annoying whowling noise from back dealer is going to replace the other wheel bearing but the clunking noise isca concern of course they said they didn't hear it any suggestions?,,
