5,Great little car,Clint ,09/17/2016,5,4,4,,,4,5,5,4,,,"I have 78,000 miles and have had very few problems with my Compass. I have only had to replace I believe the tie rods or whatever goes bad in all of them and the back brake pads. The front pads are still good. I bought a lifetime warranty and have only used it for the tie rods. It drives great, has plenty of room(I am 6'2"") and has been very reliable. For a $15000 car it has alot of value.",,
3,HA!!!!!,Yellowberry35 ,03/05/2016,2,2,2,,,3,3,3,3,,,"I rented this vehicle once upon a time and it felt like a great drive  so I bought one thinking I would get the same kind of quality....HA!!!,  what a joke.  If this vehicle costs a lot less I wouldn't be unhappy,  but it wasn't worth the money I spent.  The stabilization in both front axles will go very easy and cost a lot to repair  as well as the throttle body ( this is a common problem in Nearly  all of these models ). I hear the the updated models have been improved ( I'll believe it when I see it). Other than that if you can tolerate the little maintenance  here and there ,  you should be good to go otherwise I'll spend my money elsewhere !",,
3,Great for the first 5 yrs,Erika ,02/06/2016,2,2,5,,,2,4,4,5,,,"My husband and i bought this jeep brand new in 8/2008, we paid it off 2yrs ago and when we paid it off we looked up the value on it which ended up being much less than we thought:(The jeep drove great at first, it has a great handle, turns eaisly. Good looking body style. But after 5 yrs the car started hesitating and as we were at a red light the car almost always wants to shut off. Well fast forward 8 yrs later... 2 major brake repair, jeep sounds awful super loud and now needs major repair. Basicly a great car for a few years.",,
2,DONT BUY THIS P.O. S. .,Brittney ,09/30/2015,3,2,2,,,2,,3,3,,,"THIS IS THE ABSOLUTE WORST VEHICLE I HAVE EVER OWNED. The sun roof leaks drastically when it rains or when I wash the vehicle. So much that the sun roof has stopped working, it leaks down on all electrical units underneath. The whole ceiling is water stained , and when it rains heavily the rain pours out of the ceiling light and the seats are covered ! Not considered a  manufacturer defect, not covered under warranty or extended warranty. Passenger side back seat floor leaks all year long. The floor is continuously wet then frozen in the winter. Go through brakes like crazy , having to change every 3 months. ( I am not heavy on the brakes either) RUSTS LIKE CRAZY EVERYWHERE !  Overheated and blew thermostat, leaking anti freeze liquid, with only $75000.00 , this was covered under warranty. Does not hold its value at all. Thankfully I paid ahead on loan so I can at least break even when getting rid of this P. O. S ! 4 wheel drive stopped working when I first bought vehicle , the wires housing compartment melted and wires where fried. This was figured out after taking to the dealership 4 times . They kept saying the couldn't  find the problem. Do not buy what ever you do ! Blind spots all over .",,
3,Discussed,Johnnie ,09/16/2015,2,3,4,,,2,2,3,5,,,I have had this jeep for 1 week and the shop has had it more than me. I love jeeps but this one is a joke. After 1 week the front axle broke on this jeep. What a rip off. I am unhappy and disappointed with this jeep my van works better than this car.,,
3,Seven year switch,T Wolf ,08/24/2015,3,3,2,,,3,3,3,4,,,"My 2008 Compass was purchased new and now has about 78k miles.  In the winter months it won't take gas....  In the deep freeze I have to slowly drip gas into my tank.  Takes me 20 mins to get enough gas to get me to work.  In the spring/summer is fine.  Now my engine is slamming around.  My husband says I have a broken manifold.  It is paid in full, I hate to sell, but what else can I do?",,
2,Really???,Lillie ,07/31/2015,1,1,2,,,1,4,3,3,,,"I purchased this vehicle used. One owner, good carfax report.... Had it for a year.. Repair cost have exceeded 3800.00!!! Still a little more to go. Needless to say I am disappointed in jeep. I have been a jeep owner for ten years.  My other jeeps were well made tough machines that finally wore out after tons of miles. Repair cost are ridiculous on these compass models in my opinion. I seriously doubt I will ever purchase another jeep after this compass.",,
2.625,lots of repairs on a 7 yr old vehicle,Dorothy Mason ,04/28/2015,,,3,3,1,1,,4,4,2,3,"2008 Jeep Compass 5 sp manual tranny with 88,000 mi. in the past 9 months I have replaced the drivers ball joint, clutch assembly and stabalizer bars (several times) and it now looks like the struts are going. I am disgusted with the vehicle. I have a 97 Saturn with 236,000 miles and a 5 sp. manual tranny same clutch and only routine maintenance on it, that should tell the whole story on the Jeep..........Don't buy one! I am on a fixed income, just recently semi-retired and can't afford to keep fixing it.",The only redeeming quality is I prefer to drive standard shift.,Fix the problems.
5,Perfect Small SUV,jammy2 ,07/10/2014,,4,5,,,5,5,5,5,,,Love this Jeep!! Its everything I wanted in a SUV.I went from an Olds Alero to this jeep and couldn't be happier.My kids have so much more room to stretch out in.,,
3.75,Fun & Reliable,ensoniqman ,04/12/2013,,,3,4,4,4,,4,3,4,4,"We traded in our second Honda Hybrid for this 2008 Jeep Compass (had a 2003 and 2005 Honday Civic hybrid...transmissions and CV joint went out on both of them).I liked the styling of the Compass because it didn't really look like anything but a Jeep.Plus, I'm 5'11"" and fit very comfortably in this Compass...unlike the Civic.Nice & comfy for road trips too; not alot of road noise. Using BF Goodrich tires and makes for a nice ride.Averaging about 32 to 33 mpg on the freeway when doing 60mph and using cruise control. No frills basic interior, typical utilitarian Jeep.","Great for commuting & running about town.
Lots of room for grocerices or a weekend camping/skiing trip.","Rear brake pads will need replacing soon, as the car now has 50k miles. Factory stereo sounds ok, but we installed MB Quart 6x9 speakers...now sounds even better. Blind spots take some getting used to."
