5,Best van I have ever owned.,Jerry ,02/18/2016,5,4,5,,,5,5,5,5,,,Best seats and ride.  I can drive 350 miles and my back doesn't hurt.  I am 82 years old!  The controls are very convenient.  All in all this is the best vehicle I have ever owned and I have had many.Minnesota owner.,,
4,"VERY Glitchy Electronics, very good Driving",Kris S..... ,02/18/2016,3,3,5,,,2,3,5,5,,,"Headlights keep blowing due to faulty connectors to bulbs, power doors open/won't open randomly, 2-driver auto seat controls are a fantastic idea with horribly failed execution.  I'm tall and the car randomly squishes me up to my short wife's positions and I have to readjust EVERY part of seat position and mirror settings.  Memory seat setting buttons forget the settings.  CD player died (after 8 years).  All that said, the driving experience is great, good power and road feel for a vehicle this size.  Seats (esp 6-way power driver's) are very comfortable.  Easily carries 2 bikes and gear to races w 4 people.  Crams in 4 bikes and people with more bike dissasembly.  Goes fine in snow w good tires.  Great veh for long family trips or short hauls w lots of stuff.  NO problems at all with the OEM sunroof.  A/C and heat are both really good.  Love the heated seats. At 116k miles now my mechanic says it needs a new steering rack (leaking) and power steering pump (killed by leaking steering rack.)  Over $2,000 repair bill.  Yikes.   I don't recall the price we paid, but do remember we saved thousands over Honda and Toyota competing versions.",,
5,Best Minivan we've owned,CAS ,02/11/2016,5,5,5,,,5,5,5,5,,,"This thing really moves.  The double power sliding doors, and the stow and go seating has been awesome.  We bought ours with 58k miles, and we've put on 11k.  So far not a hint of troubles.  We've had a five vans in our child raising years, and this one blows the others out of the water.",,
3.75,Not comfortable,clhughart ,01/17/2013,,,3,5,3,4,,5,2,4,4,"In 2012 we purchased a 2008 Sedona with 65,000 miles to replace a 92 Plmouth Voyager that had 210,000 miles.The Sedona handled much better and had lots of power compared to the Plymouth.Our Sedona had non-power cloth seats; my back would hurt after about an hour and my wife complained about her legs hurting.We sold the Sedona after owning for three months.First time I've had a vehicle for such a short period of time.Also, the carpet was sort of like that trunk carpet where you can't hardly sweep anything out of it (sand/grass/etc.).The doors would easily freeze shut in the cold, and the interior trim just didn't look like it was gong to hold up as well as the Plymouth did.","Handled very well and very powerful.
Had decent gas mileage (low 20's).
Very nice looking van.
Back seat folded away easily.","Seats; headrest was too far foward and something about the entire seat was just not comfortable.
Better carpet.
Middle bucket seats were hard to remove.
Could not put a 4 x 8 sheet of plywood in it due to the way the door opening was designed."
4,KIA Not Loyal to Me,jarhead6591 ,01/15/2012,,,4,5,4,5,,4,5,1,4,"We bought a brand new '08 KIA Sedona EX, with all the bells and whistles (leather heated seats, adjustable pedals, sunroof, DVD system, etc., except navigation).We had an '06 Sedona LX that we liked and I figured we'd go for top of the line.Don't get me wrong, we love our EX, but will never buy another KAI again; no trade-in or resale value.We average 20 miles to the gallon, combined city and highway, but wanted something better on the gas.We checked into the KIA Sorento, really liked it and it gets excellent gas mileage with the 2.4L GDI engine.When I asked what I could get for a trade-in, I was told $13,000.My best advice...check resale values before you buy your next new car.","We love everything about our Sedona, except the trade-in/resale value and the MPG.
The service department at the KIA dealership is friendly and they always go the extra mile.
Now that the kids are all grown, we don't need as much room. ","I suggest the folks at Black Book and Kelley Blue Book rethink the trade-in and resale values on the KIA Sedona.
They are excellent minivans and comparable to if not better than Toyota and Honda.
The 3.8L engine is powerful and reliable.
The Sedona offers plenty of room and comfort for long road trips and is easy to get in and out.
And it has an excellent safety rating to boot.
I have never seen one broke down along the side of the road.
10 year/100,000 mile warranty tells me they are very sure of thier power train, not Honda or Toyota."
3.625,Very good value used,wildkard58 ,11/22/2011,,,3,3,3,4,,4,4,5,3,"I bought a 2008 Kia Sedona LX (no options) in November 2011 for $12,600 CDN.The car had 38,000 kms on it with full bumper to bumper warranty until September 2013.I've had it for 17 days now with 1,000 kms put in.The V6 engine is the same as the Hyundai Genesis' V6 - smooth with plenty of power.The Sedona is a very good highway cruiser:quiet, comfortable and decent gas consumption.In the city, the suspension will tell you every bump in the road.It doesn't handle as well as it's competitors but that's not saying that the Sedona handles poorly.It is car like in handling but not as good as it's competitors.Base LX model is pretty loaded.Very good minivan for your money.","Base LX model with no options comes with many standard features.
ALL windows are POWER, including the sliding door windows and the ""chicken wings"" in the back.

Tri-zone ventilation is a luxury feature - very convenient.
Throw in there the rear parking sensors and you have a loaded van at a base model price.","Interior materials and finish give a ""cheap"" feeling.
The steering wheel and the stalks feel like something used in an entry level compact car while the seat materials feel upgraded.
Gives a mismatched feeling for the interior."
4.75,Kia Got it Right,Damned_Right ,11/25/2010,,,5,5,5,5,,5,5,4,4,"The soccer mom meme doesn't apply. There's nothing ""mini"" about this van. It is as solid a beast as any pick-up truck, IMO. The versatility is amazing, converting it from a hauler w/ the rear seats down and the mid seats folded fwd, to a comfortable transport for seven. Everything is where it needs to be - cup holders, nooks, comfortable seating & decent mileage. My only gripe is AM radio reception which is limited to only local broadcasts - no distant stations can be rec'd where any other radio would, easily. Not sure if this is just my Sedona doing this, or others have similar issues.. Would be curious to know, if it can be fixed. Note the newer Sedonas no longer use in-glass antennas.","Versatility, comfort, very strong drive train.","Fix the radio issues, if they haven't been already."
4.375,Trip Car,Colorado Mountaineer ,10/06/2010,,,4,5,4,4,,4,4,5,5,"We selected the Kia over other makes result of maintenance reviews. Our 2008 Sedona has 39,000 ( used)is a great van with plenty of space and lots of  comfort for our family. Took road trip of 3.000 traveled wonderful. 25 mpg on road. Easy to drive and plenty of pep. The seats are very adjustable with good support. Lots of storage in cabin and rear of two back seats. Air and heat in compartment very good and door windows give lots of air inside. ","Storage,inside seating space and seat comfort. Driving ease, power and styling. The warranty is good too. Great family car with all the toys and safety built in. A lot of car for the price.",Really NO suggestions. The Sedona is outstanding van. 
3.375,Very Noisy Cabin,R.S. ,09/28/2010,,,3,4,4,4,,4,3,3,2,"The ride is rigid and the cabin is extremely noisy (unlike other reviews seen here).  Other than that it is a decent, practical vehicle but is is hard to get past the noise.",,Quieter and needs a better console design
4.875,Surprisingly Great Vehicle,Tom ,05/31/2010,,,5,5,5,5,,5,5,4,5,"Bought the new 2008 Kia Sedona in June 2009 and got an excellent deal.  My wife and I were skeptical about a ""foreign"" minivan until we test drove it.  We got the EX for the leather seats and other upgrades. As our first ""foreign"" vehicle, the car exceeded our expectations.  Acceleration is excellent, interior fit and finish outstanding.  Gas mileage could be better but since we only travel 5000 miles per year, it's not a problem. Interior cargo space is plentiful.  We almost bought a Town & Country prior to test driving the Kia and we made a great decision.  We hope Kia continues to produce excellent vehicles.","Comfortable seats (leather), smooth ride, quiet interior, cargo volume, acceleration.","Better gas mileage; more safety features (blind spot warning, etc.; better audio system"
