4,Bought new in 2007 (2008 model),Fred ,12/06/2016,3,4,5,,,4,5,5,5,,,"Can't believe I've owned the vehicle for 9 years.  It was my main driver for 7 of those, now it is a weekend vehicle and I drive a hybrid (Hyundai) as my regular driver.  It was my first diesel vehicle and I love the engine and the gas mileage for such a big vehicle, always around 21 miles per gallon.  It is a very comfortable SUV.  The problem is the cost of maintenance after the ""free maintenance"" period is over.  Whether a dealer or an independent it is super expensive.  I had to repair the rear latch and I did it myself so it wasn't that expensive, but to have that job done they tell me it's easily 400 bucks.  The costs are high also because things like windshield wipers are only available from Mercedes.  Tires are very expensive like all big SUV tires, around 300 bucks apiece for the cheap ones.  Having $1,000 services from independent Mercedes service places is not for the faint hearted.  Parking lights are impossible to change, the independent service place suggested I have them changed when a service requiring the removal of the front bumper is necessary.  I  now have a little more than 100K miles on the vehicle and all things considered it has been reliable, but diesels tend to be very reliable in the engine department.  I use it when I need to haul big items and it is great for that.  I have an old pickup but it is so much nicer to haul things in the Benz.  I can't recommend a used one to anyone that is buying used because they can't afford new, because you won't be able to afford the maintenance.  Maybe a one-owner one like mine might be ok, but I would probably sell mine only when the repair costs became annoying, so think about it.",,
4,Really solid vehicle that gave 7 years hassle free,john dawson ,11/14/2016,3,3,4,,,4,5,2,4,,,"Great, solid reliable car until it hit 7 years then we had a few issues with fuel system and seat restraint.  Drivetrain super solid and deisel was giving 22 mpg which is pretty good for a 4-ton tank.  Overall thoroughly enjoyed the car, trading-in in 1 week and the only reason I'm not getting Mercedes again is the local dealership that just gouges terribly on price.",,
3,"Okay, but not great",mmoran ,08/07/2016,,3,3,,,3,,4,4,,,"We purchased this vehicle in 2010 used with only 16,000 miles on it.  It has been okay but I expected a bit more from a ""luxury"" manufacturer.  At the end of the day, they are about the same as GM, Ford, etc.  The electronic items that fail are really irritating.  To date, we have had the rear hatch lock replaced, the drivers side door lock replaced, and the master window switch on the drivers door replaced.   There aren't any children riding in this vehicle abusing the electronics so I just chalk it up to poor design and / or manufacturing.  On the positive side of things, it still has the original tires and they are still have good tread, the vehicle rides great, looks great, and we enjoy driving it.  We don't drive a lot here in Omaha, NE and put less than 5,000 miles per year on it so it still has only 45,000 total miles on the vehicle.  Hopefully it will live up to the standards of our old C230 Kompressor that is still going strong at over 260,000 miles...",,
5,2008 MB ML350,Erik_harnisch@hotmail.com ,02/17/2016,4,5,5,,,5,5,5,5,,,"Great SUV, with lots of comforts and toys.  Solid road handling,  good power. Things to look for:Suspension Bushings, Upper and Lower control arms front. Brake wear and life remainingCheck power steering leaks at control head and power steering pump. I recommend no air suspension.",,
4.25,Great car,jojay1 ,06/06/2015,,,4,4,5,4,,5,4,3,5,"I have been owning my 2008 ml350 since three years, 54000 miles on it. Actually it's an enjoyable suv, smooth, very powerful with a good fuel consumption. I can say that the roads where i have been driving it are bad, but the ML can easily deal with it. No real problem to share and great reability from this car. I really love it and advice it to anyone who is searching for a good and solid suv.",,
3.125,worst invest I am going back to Honda,sc1298 ,12/06/2014,,,4,4,2,3,,3,4,3,2,"I purchased the ML 320CD as an upgrade to my 1988 Honda which after 200 thousand miles no major problems, never expected a MCB SUV will give me gray hair, I have changed several parts that in a less cheaper care start going bad close to 10 years, CD player went bad, the door lock went bad on the driver side one week later the passenger side is gone, the tire pressure sensor same story, bulbs blow weekly, now oxygen sensor need changing , changed the inlet port motor and now the disel filter need to change, the care is loosing power esp on an incline, the engine light is forever on, and the list goes on and on, i have spent at $10,000. for the year in repairs plus service, I  am fed up, angry",,
3.875,expensive piece of crap,baby786 ,09/19/2014,,,5,5,4,1,,5,5,2,4,"after 3 yrs of owning the ML320 CDI, I do have a lot of problems and expenses, the check engine light never ends, the lights always have to be changed at least every 3 months, as of this time my SUV has 58000 miles and the vehicle is in and out of the dealer, cannot fix the check engine light, I already spend almost $5000 . the vehicle has been there for a good 1 month, waiting for parts, then bring it home, drive for 5 miles, check engine comes back, they change a lot of parts, the SUV also has problem with acceleration, and the engine now is so
noisy when you drive it. I thought this was the best vehicle I bought, this was the worst of all the brands I have.","the navigation system is a pain to use ,I never used
it because it is so time consuming,not user friendly.
","Since this vehicle is so expensive, they should make it very reliable and efficient ,not so prone to braking down of sensors etc. at least it will last for a good 8 t0 10 yrs with a 100 plus milage before it starts braking apart.
I do not suggest people to buy SUV'S from Mercedes
unless you are ready to throw money and make them rich."
3.5,piece of crap,donnaw3 ,05/13/2014,,,5,1,3,2,,5,5,2,5,"tank god I bought the extended warranty otherwise I would be broke for sure. intake manifold 3500.00. then the turbo, transfer case, intake censor, particulant filter etc, 10k, fuel system, tires1200.00 every two years. 600.00+ for any routine service, new battery over 500.00, triple AAA wont touch a Mercedes, I bought this vehicle thinking it would e the very best ever. its apiece of junk. the Mercedes emblem on the rims wore off 3 years ago- piece of junk. I am shocked at a Mercedes vehicle. never again in my life and I m 50.",nice comfortable ride ,an over haul of the whole thing.
4.75,Very nice,hemi_torque ,02/23/2014,,,5,5,5,5,,5,4,5,4,"We have one without the airmatic setup.Lightens the weight of the ML and eliminates any potential air springs issues in the future. It has blazing acceleration - when launched, even at part throttle, it can feel like you just got rear ended by a truck that forgot to stop. You'd have to see it to believe what cars it can out accelerate on a regular basis. Has a solid yet comfortable ride. Structure is very solid & tough. Engine & exhaust are tuned to be quiet & relaxed, and so don't be expecting high performance sounds. Has been very reliable so far. It's also a very safe SUV with great crash test results. MPG is actually not bad considering this level of power in an SUV package.","Torque, power, gearing, instant engine response, the 550 version exclusivity, build quality, very attractive interior & exterior design, amg sports package, 7-speed automatic, pre-owned value, great visibility, feels small & maneuverable, reliability, luxury. Instantly noticeable orange turn signals in the rear, great turn signal indicators on the side mirrors. Can find a comfortable preference for the steering wheel & seat adjustments. Seats are comfortable on long drives. I could go on & on...","Personally, I'd prefer: more car-like handling, (maybe the airmatic setup would help in this case), more relaxed steering - it can get a little nervous (twitches from left to right due to road imperfections) and so I was hoping for more relaxed steering characteristics around town. Sportier sounds from the engine & exhaust, a better manual mode, easier to use Command System. Better traction from the 4matic system since the front tires (yes front) tend to spin from stoplights quiet often even at just part throttle openings. "
2.25,Bad dealership bad car,klm001 ,06/12/2013,,,4,4,1,1,,1,4,1,2,"This is the bottom line worst car I have ever purchased and the dealership is even worse than the car.I purchased an ML350, 5 days after I purchased the car it had to go in for service and in less than 20 months the car has been in 21 times!Everything from the rear hatch not working (constant problem), sunroof, cam shafts leaking, oil leaking, random lights not working, battery going dead for no reason and stranding me, and the last one was the a/c going out completely.Of course out of 21 times in the dealership my service advisor who is the only decent part of this experience does not know what to do except to schedule me for service for next month in advance because she knows soon so","The car interior is beautiful, it is on of the reasons I purchased the car, it also feels very solid compared to alot of cars.
Its tight suspension makes it feel like a sturdy well built car.
It is unfortunate that was not the case.","Dealership should stand behind obvious issues with a car that even the service advisor admits is not due to the user.
"
3.5,Probably not worth the investment,spicoli2 ,11/25/2011,,,4,4,2,3,,5,5,2,3,"I bought this car new in October 2007. I have general dislikes about this vehicle and the cost of ownership. First, the SUV has 37k miles on it and I am on my 3rd set of tires at $1100 per set (including mounting and balancing). MBUSA says it's due to the weight of the vehicle and that the tires available are soft (whatever you do DO NOT buy Continental 4X4 contacts for this car).Second, there are many, many little things that for a MB are un acceptable like, front defroster only has one setting, which is high, then you need to play the on/off game with it when the windows fog up, the radio does not display the song or artist, the alarm makes no audio sound to indicate it is alarmed, ect","Goof performance
Exterior styling
Storage space","Change settings for front defroster
Have radio display artist and title
Have alarm have the ability to have an audio sound to indicate the vehicle is secured
Full size spare tire
Paint that doesn't scratch if you look at it wrong
Changing front light bulbs requires an entire free day"
5,Update after two years of ownership,joe43 ,03/04/2011,,,5,5,5,5,,5,5,5,5,I have now had my ML550 two years since my last review.I actually enjoy my vehicle even more than before!!I have had no problems with it and the power is just so amazing with the gas mileage not so bad (avg 15mpg).I live downtown and do not drive a lot of hwy miles but when on hwy I get 19 to 20 mpg.Small trucks with V6 engines do not get better in town gas mpg.The quality has stood up and I intend to keep this ML550 for a long time!I just love this SUV!!,"V8 Engine!!
The power is awesome
Comfortable seats
Luxury accomodations
Comfort or Sport controll suspension
IPod adaptor and Satillite Radio
",None 
1.625,Worst car I have ever purchased,BJR ,10/06/2010,,,2,2,1,1,,1,3,2,1,"Purchased the car new, 2008. After 11 months the car stalled out on me while driving! I brought it to MB and they told me they fixed it. Happened again and again. Life threatening problem! I tried to get MB to switch out the car but no way. Too much to ask, being safe! MB put new tires on the vehicle and the back tire leaks bad. They can't fix a tire either! I have brought the car in I can't count how many times. Still leaks! Car swerves all over the place. Horrible service, MB corporate doesn't care about us either. Only the $$$$$. I went back to BMW. The ""7"" handles like a dream and I don't feel like I am putting my family's life in harms way. Never again Mercedes! ",Going to a BMW,"Try making a car that won't kill people work on ""helping"" a customer!"
4.875,Best SUV ever!,RBL ,09/09/2010,,,5,5,5,5,,5,5,5,4,"I ordered this car with all available options. Towing my horses on highways and hills is effortless and I have NEVER gotten less than 20mpg. I find the nav system very accurate but data entry is a pain. The Airmatic suspension makes a HUGE difference in the ride and handling quality over lesser-equipped M Class cars. There have been zero defects, so my only expense has been to replace the tires and 3 maintenance stops. An outstanding vehicle made in the USA!","Ride quality, fuel economy.",A smoother-shifting trans.
4.875,Why do hybrids even exist?,Mikey ,08/25/2010,,,5,5,5,5,,5,5,5,4,"Wonderful vehicle.  Terrific performance from all that diesel torque, yet it gets superb mileage (avg. 22.1 MPG over 45,000 miles).  Very comfortable on long trips.  Lots of storage. However, it's outrageous that  memory seats are not standard equipment at this price.  Maybe they are now standard on newer models?  My dealer in Grand Rapids, Michigan is excellent, both sales and service.  BTW, hybrids are a losing proposition.  We already have diesel infrastructure in place, the technology is proven beyond a shadow of a doubt and the diesel complaints (noise, polution and smell) have been solved.  My second M-B diesel won't be my last.","Engine.  Engine.  Engine.  Good seats. Good looking design, both inside and out.  Comfortable ride.  4Matic is excellent.  Electric tailgate.  Acceleration.  Rain sensing wipers.  Large gas tank for almost 700 mile range on the hwy. The overall driving experience is very good.   ","Nav system is very clunky.  Windshield wipers destroy themselves if they get frozen in place.  Expensive oil changes, etc.  Beige MB-TEX is hard to clean where my belt rubs black onto it.  Wish I could have more seat adjustment options and electric steering wheel adjustment.  Needs memory seats."
5,Proud Owner of ML 350,Manny ,07/08/2010,,,5,5,5,5,,5,5,5,5,"Back in 2008, I test drove Volvo, BMW, Audi, Acura. Finally I chose ML350. I believe in my life I have always made wrong decisions, but I have never regretted my ML350 purchase. Then I bought Audi Q7 2010 for my wife, but somehow it has failed to gain my loyalty. Even after 60,000 miles my MB drives like a newborn. Amazing SUV.","Steering control, I cannot believe such a huge SUV having this kind of control, mind blowing. ","Glove compt too small, Nav is ok. Meter display not impressive."
