5,Finally got my Z,Jay ,11/29/2016,,4,5,,,5,5,5,5,,,"I had a 2006 Nissan Altima SE-R, the four door version of the Z, when I needed a four door.   I always wanted a Z and now I have one.  This car is as good as I was hoping it would be.  Its fast, handles great, great seats, front visibility is good, the brembo brakes are awesome, the nismo wheels look great - 18"" in the front and 19"" in the back, the stock exhaust is just right.  Yes the bose stereo could be better and there should be an aux input.  There is some road noise but I love the sound it makes and feeling the road, I wanted a sports car and I got a great one!  I can't say enough good things about my Z - Its AweZome!",,
5,AwZome,Umar Nazir ,08/23/2016,5,5,5,,,5,5,5,5,,,"This car is one of the best cars ever created. it handles well, drives well and Is fast. love it",,
5,"First Z car, not first fun car",MJB ,07/17/2015,5,4,3,,,5,5,5,5,,,"Very low center of gravity, wide footprint.I'm switching the audio, suspension and wheels/tires to improve the driver experience and overall handling. I think the car is well balanced for the price, but a few thousand dollars in the right areas and you have a very competitive handling car with a good driver experience inside.The motor is a thing of beauty. Stock sound and power is plenty to get up to high speeds - 90-130+, although I believe the suspension and wheels need to be upgraded to fully realize the VQ35HR's potential.The exterior styling is timeless and I really like the hood on the HR (07/08) models. HID projectors are a classy touch that provide excellent visibility.I love this car. It is a visceral machine with an unmistakable racing DNA. This car wants to be thrown into corners, drifted through wide curves, and pull out of corners. Just a great experience overall.",,
2.875,2008 Nissan 350Z Interior,nissedoff ,01/02/2014,,,1,4,1,3,,4,4,2,4,"The interior paint/coating on all plastic panels (door, dash, etc) scratches off with normal use to reveal a white plastic. Nissan knows about this and chooses to do nothing about the problem. I own five different cars all older then the 350 and more mileage, I don't see this in any of those cars.This is unsightly and started soon after warranty expired, 36 months.I have to have all these panels removed and painted by body shop.Also, my power windows motors quit, also known problem Nissan chooses to not solve.I do not recommend Nissan. ",,
4.75,Grandtouring AT,tommy86 ,12/15/2010,,,4,5,4,5,,5,5,5,5,"This is my 2nd 350z, my first was a 2003 touring 6MT And hydroplaned it on hwy doing 80 mph Vdc was off.. wont do that again, however i now have a 2007 grandtouring AT due to broken pelvis dont like the clutch, love the new HR motor much faster, but i really miss the manual trans, VQ35 TILL I DIE!!!!","Vq35HR, XM radio, bluetooth","Tire wear, headlight condensation!!"
4.875,Outstanding!,RTLBT ,11/07/2010,,,5,5,5,5,,5,4,5,5,"Bought used 1 owner only 7858 mi! Has all warranties. What a car! Had a 280z, no comparison, but I loved it. No nit-pick's (like telescoping steering wheel). Have had several sport cars, this one is it! So easy to drive, do not get tired after 3 hrs, like my Chevy, must be the seats. Mileage is great for this h. P., 21-24 mpg like book says, but did get 26 mpg at 75 mph. Love to clean it and feel fine lines of car, I know, I'm a nut case.","Steering Wheel Controls, Heated Outside Mirrors, Rear View Mirror Extras, Headlights, Handling, Acceleration.",None
4.75,2008 350Z,boney71114 ,05/18/2010,,,5,5,5,5,,5,4,4,5,"Excellent coupe for spirited driving with great reliability.  Only complaint is needing new tires at 12,000 miles.  Handling, acceleration and comfort and good looks are the best for the price!  Would buy again in a second.",,
4.5,Absolutely awesome sports car,Ryan ,03/09/2010,,,4,5,5,5,,5,3,4,5,"My last 3 cars have been sports cars, (Mustang GT, Subaru WRX, 350Z)  and this trumps them all  This car pulls beautifully, runs great, is super reliable, amazing performance.  Just love it.  I recommend it highly","Great handling, Actually good in the rain, insane power, beautiful engine note, Great HIDs, Great Brakes, Engine is bulletproof, decent hwy MPG (24 @ 80 MPH), Amazing color paint (AX6 red), Low price, beautiful gauges, 7500 RPM redline, 306 HP ","Don't even think of leaving house in snow, paint chips/scratches SO easily, Windows leak water occasionally, eats tires, bad visibility, bumper is very low and susceptible to damage, no cargo space (what else do you expect), no fog lights, small interior"
5,Rag Tops Rule,Dezert 350Z ,02/20/2010,,,5,5,5,5,,5,5,5,5,The 0-60 gets cut in half when you run it up to 1300rpm's before you let it go! Gittyup! GR8 car more bang for the buck. ,Rag Top! hey I live in the desert -- I can drive it topless almost year round.,speedometer is off and they will not fix it. other than that I like it.
4.875,2008 Nismo,Boz ,01/16/2010,,,5,5,5,5,,5,4,5,5,"Best handling car period with traction control on or off.  I love this car.  Makes me smile with every drive.  Super tight and well built.  I have owned many Porsches and BMWs.  The only thing that handles better is a M3 or GT3 and the Corvette Z06.   The Nismo could have a bit more power as the 306hp V6 is a bit short in torque and pull.  That said, for $30-35K this is the one in my garage.","Handling, styling and brakes",Stereo and torque curve
