2,BAD TRANSMISSIONS,jerrius ,06/01/2016,,3,3,,,1,2,2,3,,,"If you drive this car long enough, you might run into a transmission problem. Not only has this affected my car, but many other rogues. Hence, the extended transmission warranty Nissan has given for this car. Right now, my car is in the shop with 128,000 miles, needing a completely new transmission. I would highly recommend thinking of other makes or models (especially one that doesn't have the same type of transmission.)",,
5,My Baby SUV,Nikki ,05/10/2016,4,5,4,,,5,5,5,5,,,For my 1st SUV  - the rouge is the best. It handles like a smooth car.Perfection to say the least.The only reason I'm upgrading is because my son is outgrowing the back seat and we need a bit more room..... With good tires my baby was excellent in NYC snow and winter weather.,,
1,Bad Transmissions - Terrible customer service,Huzefa Mamoola ,04/07/2016,1,2,4,,,1,2,2,4,,,"No Nissans for me again! Rogue CVT Transmission failed at 119K, got it fixed under warranty from the dealer. The car failed in Savannah, GA, 640 Miles from my home. After 1280+ miles of driving to and from Savannah to collect the vehicle, the Nissan 1 rep kept saying that they don't have any policy to at least reimburse me for the rental car for the trip nor even gave me vouchers for future repairs in the vehicle, nor was willing to commit to increasing the warranty period on the new transmission. They stuck to their 'policy' throughout the conversation about not reimbursing anything. No goodwill towards the customer and no regard of what the customer has been through with a transmission failure in a car that I hoped will go at least to 200K miles without major issues. Everything was a 'No, not in our policy'. Nissan, you lost a customer today forever. Adios.",,
5,Muuuurannoo,Morgan ,03/19/2016,,,,,,,,5,,,,,,
5,Rogue for a rogue,Marc Gear ,02/03/2016,5,5,5,,,5,5,5,5,,,"Read the reviews when it first came out.  Great fuel economy!I am 6'6"" , my son is the same and my daughter is also tall.  bought this car so we could all fit in!My wife is above average but not in height and fits also.",,
2,Very disappointed! !!!,kiki ,11/11/2015,2,,,,,,1,1,2,,,My first car. It's a shame that I am not too happy. Two days every other week I have to call out of work. Because it will blank out in the middle of traffic the same distance everytime. Now a few months later. It's getting kinda cold. When I start it in the morning. When I press the gas the car goes no where.  I Will Then Have To Turn Off The Ignition Then Turn It Back On Five Minutes later. I hate it. My biggest turn off.,,
2,HeLLOOOOO Nissan- Can you hear us?,Anne Luchetti ,10/07/2015,3,3,3,,,3,3,3,3,,,"I have same frustration and negative review of CVT as most owners here...I have owned this vehicle from 0 to current 128,000 miles.  I had NO indication of a problem with the transmission. Yesterday I got in the car, put the car in gear and it will not move.  Like it is in neutral.  The engine just raced. Towed to Nissan.  Service manager says ""its your trannie--it will be $3,952 to install a rebuilt one.""  Seriously!  Dealer said that was the best he could do.  How can there be so many problems with this particular CVT Transmission and Nissan not have a better plan to deal with this particular defect.     I then had it towed to a transmission shop....since it is NOT covered under warranty anyhow I am going to give them a shot.  At least they are offering a 12 month warranty on their job!  When you take care of your vehicle It should not fail in this manner.",,
1,DO NOT BUY A NISSAN,Sally Bell ,09/10/2015,,,,,,,,,,,,"I will never buy a Nissan again!  I own a Nissan Rouge and my car stopped working while I was on the freeway while my daughters were in the car.  I found out it was my transmission (CVT) but Nissan refused to replace it since I was 1,700 miles outside of the warranty.  There was no indication there was even an issue or that I should take my car in; which would have saved me thousands of dollars, prevented being without a car for over a week, and putting me and my family in grave danger.  It is extremely upsetting and disheartening that Nissan cares so little for their loyal customers.",,
3,Did Not Last,Lisa ,08/25/2015,2,3,2,,,2,3,2,3,,,"My 2008 Nissan Rogue was great the first 2 years I had it. Into my second year of owning this vehicle, the transmission died. There was a 60,000 mile warranty on the transmission originally, but Nissan upgraded the warranty to 120,000 miles due to the problems these transmissions were having. Nissan replaced the transmission, but the car was never the same. The car couldn't handle a 40 mile trip without losing power. After driving about 40 miles and exiting the freeway, the car did not want to accelerate. After that, the air bag light began blinking. found out that this repair costs about $1600.  This car seemed to have problems every couple months.I ended up trading my 2008 Nissan Rogue for a 2013 Ford Edge.",,
2,OMG What have I done!,Dawn B ,07/19/2015,1,1,5,,,1,5,1,1,,,"I have had my Rogue for 2 weeks! It has been in the shop twice and I have to bring it in again and leave it for a day and a half.2 days after buying it the AC died and turned into heat that still came through the vents when off and this was during a heat wave! Then the tire function light came on, then the rattle under the driver side when I start it. Called the dealership, brought it in. (I live over an hour away- my stupidity) The tech came out after 2 hours of waiting to tell me they figured out what was wrong but the parts wouldn't be in for a couple days. Now there is another noise from the CVT, it hesitates on acceleration and is wheezing. Thank God my husband is paranoid and we bought the extra coverage.So what do we do? Haven't even made a payment yet! I am disabled and we traded my Rav for the Rogue~ I drive to PT twice a week, an hour each way. I need a dependable vehicle that im not going to get heatstroke in while driving. I live in Mass so I have the Lemon law on my side to a point. I'm going through all the complaints, making a list, checking recalls, making sure they have been taken care of against my vehicle. When I go in to drop it off I will be armed with all this info and just may demand another vehicle. I should of checked here before shopping, I'm so P/O'd!",,
