4,2008 Suzuki,Kevin Hughes ,08/08/2016,4,4,4,,,5,4,4,4,,,"I purchase this car right after my divorce in 2010. I was only planning on owning for a year or two. 6 years later I still have it. The only time it left me stranding is with a dead battery. I have only have to do routine repairs. The only exception new front struts at $500 at 105,000. The car now has 109,000 and everything still works. Air still blows cold. My only complaint is now parts are somewhat hard to find and fuel economy is a little low for a car of it's size. I average 25 but do very little highway driving.",,
2,WORST CAR EVER!!!!,Joseph Richard ,06/21/2016,1,3,3,,,2,3,2,3,,,"DEAR GOD pls don't buy this car......I have never spent so much money on repairing this vehicle, always in the garage and would leave me stranded no kidding at least every other week with one thing or another!!!!    I had 15 grand into it when i finally cut my losses and dumped it for a Honda Accord........I got 5 grand on the trade in and some dealers refused to except it on a trade in!!!  one dealer laughed at me on the phone when I said what I had to trade in and hung up in my face!!!  you can get a good deal on this car because they do not sell them in Canada anymore (THANK GOD)  but you will regret buying I can assure you of that!!! all the maintenance was up to date on this car and still it was always broken with something replaced AWD, driveshaft, major break job alternator battery and on and on the final straw was the check engine light that would stop the car almost dead on the highway twice this happened in a week and that was enough it was gone that week and I've been sleeping at night ever since!!!",,
5,Love My Cute Lil Car,Lani S Gomer ,06/14/2016,5,4,4,,,5,5,5,4,,,"I bought her brand new and now she has 58,000. She is garage kept and has her regular maintenance. I've never had any major issues. I believe there were 2 or 3 recalls which the dealership fixed right up with no problems. One of the dash lights where there gas gauge is located died about 2 years after I got her but it wasn't worth the price to pay to have it fixed, I can see the gauge with no problem so that never became a real problem.  She is super fun to drive, so much so my husband likes to drive her on the weekends. She's zippy, easy to handle, small enough to fit just about anywhere but yet it's roomy enough to fit a bike in the back with the back seats down. The AWD is great, we live in Central Florida and get lots of rain and I've always felt safe. My teenage daughters learned to drive in my car and have always felt comfortable. If I could I would buy a newer model but for now I will stick with my lil baby. When I see her in the parking lot I still think she looks so cute, sporty and fun. Mine is pearl white and has tinted windows which makes it look really sharp. When I see others without the tint I think it looks unfinished for some reason.Now the cons on her are all cosmetic. I still have the factory stereo which sounds great but there isn't a USB or Aux input for my iphone so I had to purchase a compatible plug which wasn't a problem. I'm sure I'll probably put a bluetooth stereo in soon. The other con is no front arm rest, so I purchased one online that sits in the middle holder and has a compartment. Also it seats 5 but the back seat isn't really comfortable for 3 adults. I got lucky and had 3 children but they did always complain it was uncomfortable and the headrests had to be raised up which was bad from me as the driver because I had a hard time seeing out the back window.I love this car and will love her til she gives out on me which hopefully won't be for a long time.",,
5,after 8years I still don't have a reason to trade,Kat ,03/09/2016,5,4,4,,,5,4,5,4,,,"I bought my 2008 SX4 new and in 2016 and 85K miles... My car is still running strong. The car is a beast in the snow... I work in healthcare and we don't get snow day. I've been tempted lately to trade the car in but really don't have a good reason... The only thing I had to replace where tires, brake pads and rotors. This is the best car I ever owned... Love my SX4.",,
5,Cuter then a bugs ear!,Scott ,10/06/2015,5,5,5,,,5,5,4,5,,,"Love it, love it, love itThis car is basic as could be but that's fine with me, can't think of any complaints, I knew I wanted a basic simple no excitement car. It drives great, handles wonderful, does everything I ask it to do with no problems. My wife loves that it sits higher, more comfortable then her expensive Mazda.",,
5,My Wife Wanted a Reliable AWD Car,James Hamilton ,10/02/2015,5,4,4,,,5,5,5,5,,,My wife loves the car and she routinely receives compliments from others regarding the styling.  From my point of view (husband) the car has been ideal for her as she loves to bird watch and takes the car off highway quite routinely.  Also we have had zero problems with the vehicle.  This is the second Suzuki we have owned; the first was the Suzuki XL7 but as our kids grew up and moved out we downsized.  We recently took the SX4 from Mapleton Utah to Seattle and the ride was comfortable and without incident traveling 75 to 80MPH averaging 28MPG.,,
3.875,Well built car,ibali ,06/18/2015,,,4,4,5,5,,3,3,4,3,"Bought this car brand new in January 2009 and owned ever since. The following are the only problems I have had in 6 + years:

Year 2: Change radio; CD player sticking (warranty).

Year 3: Change power steering pump (made noise) and warranty.

Year 6: Change water pump $350 for part and labor.

130,000 miles.","fuel economy, a/c is great, good in snow, parts are inexpensive.",none.
4,air bags,morningstar44 ,02/15/2015,,,4,4,4,4,,4,4,4,4," I own a Suzuki sx4 2008 model, I  always like my car until I was in a wreck, from the wreck I broke my neck and mess up my back. I was T-bone on the driver side and the side air bags did not come out the front ones did but the one on my steering wheel shattered as it deployed, I was hit from the side so my side ones should of came out, these model cars needs too have a check on them before someone else gets hurt like me the doctors said I will never work again  ",,
4.375,Three years strong...,princesskiara ,03/12/2014,,,4,4,4,5,,4,5,5,4,"Bought it used, and I've had my SX4 for just shy of 3 years, and have had no mechanical issues. It will reach 80k miles this month, and the only things I've done are replaced the tires and front brake pads, plus the regular 30k services and oil changes. Love the keyless ignition and entry, love the fuel range module (I get an average of 27mpg, up to 40 on road trips), love how I sit in it and that the windshield doesn't feel like it's too close to my forehead. :) The only issue I have is the suspension--feels like it needs stabilization when I hit bumps on corners. It rides nice, however, and feels very safe in all other conditions. Never had any problems on snow or ice. :)","Keyless entry and ignition, fuel economy gauge.","It needs tilt steering, the split pillars add a big blind spot, and the suspension needs work."
2.25,Went down hill quick...,raninator84 ,01/02/2014,,,2,4,2,1,,2,2,2,3,"I bought this car new in 2008 for $17,800, looking for a reliable vehicle with AWD. The car was great to me for the first 60k miles. At around 70k I had a rod knock, it turned out that my motor had slipped two bearings, I took it to the dealer(under warranty) and the job required an entirely new short block! I have owned 5 vehicles and have never thrown a bearing! The car hit 100k I had a broken slave cylinder so out of warranty this was a $1300 job (over 2000 at the dealer!), and at 106k my engine has a rod knock again! I will be trading it in tomorrow for a camry to avoid the $3,000 it would take to fix again. I will never buy a Suzuki again, and if you do, listen for the rod knock!","Visibility, but other than that I Can't think of any, it's a mediocre car, I didn't buy it to be blown away, I bought it to be reliable and in the end I didn't even get that.","Bigger gas tank, better quality speakers, needs a quieter cabin, better gas mileage. Stronger dealership support. Try not designing the car to give up after 100k miles!"
