4,Great performance. Poor reliabilty,David Lynch ,06/24/2016,3,4,4,,,1,3,5,3,,,"This car has phenomenal performance, but man does it have things go wrong with it.  A few things you should know of you buy this car.  You're going to replace the coil packs on this car every 30-40K miles and when the first one goes, replace them all.  In fact, carry a spare in your car at all times along with a code reader.  When you get a misfire, read the code, find out which cylinder it is and replace it yourself.  Here is a list of all the things I've had to replace since I bought the car with 21K miles on it (it has 54K now):  4 coil packs, 4 spark plugs, 1 thermostat, 1 vacuum pump, 1 intake line, 1 headlight bulb and both headlight auto-leveling motors.  I haven't even had to replace the brakes yet...  Think about that.  All in, I've spent about $4,000 in repairs on this car.  No one should go through this many repairs for a car that has less than 55K miles.  In the last 9 months I've spent half of those dollars on repairs for parts that just brake.  I love this car, but if/when I get another, I'm leasing it.  I'll never buy a Volkswagen again.  A real shame too, because the fun factor is a 10.  Reliability factor is a 3.",,
4,Fun on a budget,Joe Rogers ,06/22/2016,4,4,4,,,4,4,4,4,,,"Quick and agile, gun to drive. Turbo requires premium fuel. Versatile around town and short trip car. Tight, sporty suspension. Most models use some oil between changes due to turbo. Mine takes about a quart per 1500 miles buy is driven relatively easy most days.",,
5,The King of the 'hot hatches',ted gathe ,01/08/2016,5,1,5,,,,4,5,4,,,"I don't know who wrote the Edmunds review of the 2008 GTI but they are badly mistaken in describing the Honda Civic Si and- good gracious-  the Mini Cooper S as better driving cars than the GTI.  I test drove both those cars on multiple occasions along with a number of others and the GTI was by far the best vehicle in every category.  The Mini Cooper in particular was disappointing- noisy, tinny sounding and rough riding.  The Si has nowhere near the smooth acceleration and shifting of the GTI.   It's by far the 'King of the hot hatches.'",,
4,VW GTI Review,alekmed ,04/09/2013,,,4,3,3,4,,5,4,4,5,"Review EssayThe Volkswagen Golf GTI has always been the go-to hot hatchback to buy ever since the first version came out in 1976.It has had numerous competitors but few have been able to match the GTIÂs balance between power and handling.The GTI I am reviewing is of the Mk5 generation, with it being a 3 door 2008 model with a DSG transmission, or Âpaddle shifters.ÂOverall, this is a good car because it does what it is intended to be in a high manner, which is being the best sports hatchback money can buy.This isnÂt a base Toyota Yaris econo box; this car has been given tweaks over the base Golf to make it one of the best sport hatchbacks on the market. First off, the aesthetics ","With itÂs small size and excellent handling, this car feels like a go-kart, which is a good thing.
As for the ride, this car strikes a balance between enthusiast and daily commuter.
ItÂs definitely more harsh than youÂre average sedan, but itÂs far from being a headache as you go over bumps in the road.
The thin tires on the GTI do did a remarkable job of absorbing major bumps and holes in the road, and overall the car is very quiet, with the only major sound coming from the engine and exhaust when you floor the car.
The interior is also above average, with very supportive seats and nice fit and finish along the dashboard.
ItÂs all very well put together, unlike VWÂs of the past.
There",
4.625,Possibly the best sub $30k car you can buy,robcarter3 ,01/25/2013,,,5,5,5,4,,4,4,5,5,"This car is a blast. It puts a huge smile on my face every single time I drive it. The power delivery is smooth and effortless and the engine makes a satisfying growl. The DSG is fantastic. The ride strikes a great compromise between sportiness and comfort. This car does everything. I can drive aggressively and have a fantastic time. I can haul 5 people, or 4 comfortably. I can haul a ton of stuff. I get great gas mileage. The interior of this car is far more refined than any of its competitors. The materials look and feel upscale. It's just a nice place to be.For the money, this car is darn near unbeatable. It is equally good as a daily driver and a weekend toy. ","DSG- smooth automatic when you're stuck in traffic, or pretend to be a race car driver on a good road

Engine- great noise, wide powerband, instant results when you put your foot down

Plaid seats- they look awesome (the seats themselves are awesome to sit in as well)

the steering wheel is a gift from the gods

18"" Detroit alloys- they look great

Quiet, refined cabin

There are no compromises necessary with this car. You can haul people and stuff, safely and economically and comfortably, it's easy to park and reasonable to insure, and it is legitimately fun to drive. I can't think of any other car (certainly not one in the same price range) that does all these things so well. ","The GTI needs at least 40 more HP to stay competitive against cars like the Focus ST and Mazdaspeed 3, both of which offer more power for less money. Since this can be accomplished with a simple ECU reflash, I don't see why it would be that hard. "
5,AWSOME CAR,fireball667 ,12/12/2011,,,5,5,5,5,,5,5,5,5,This is car is so great even though i have had it a short time i tthe best the car i have ever had and i am really happy with it and i hope to have it for a very long time and i love the accleretion and th ehandeling best VW ever i would and it i a supprised at the gas message i get lately,,none
5,My faithful Steed,meistering ,10/26/2011,,,5,5,5,5,,5,5,5,5,"You always see the cowboys with their horses riding off into whatever the next adventure may be. The horse, of course, is more than a horse...of course, of course. It is their faithful steed--a loyal companion. That is what my GTI is--my partner of the road. The car has gone with me from as close as the grocery store, to as far as the other side of the country. It has seen blizzard, rain, sunshine, drought, you name it. My car does everything I would ever ask, and not once has it broken my wallet or told me ""no, that's too much."" The next adventure is always around the corner, or just less than 6 seconds away. ","The quality feel of the thing. Looks clean and simple. Turbo-4 is great fun when you want it to be, easy and smooth when you just want to relax. Ditto with the DSG tranny. Practicality. ","Could use slightly more power. DSG can be clunky at times. The exterior lips and side-skirts are made of this black plastic, looks cheap. (I had them painted to match the car.)"
4,younger opinion...,jotad ,09/05/2011,,,4,4,4,3,,5,4,3,5,"its comfortable,quiet,well built and really fun to drive. this car is always in the mood for a sporty time ! even though is a heavy car it handles very good , is extremely comfortable to drive at high speeds, in long trips and daily basis.DSG gearbox is wonderful. i live in a very hot-hummid city(panama) and the air conditioner stops working some times(it seems to be a common problem in this year gti).its a expensive car to own. i haven't had any serious problems, but small things are very expensive to replace. In the end, if you are willing to sacrifice some reliability for comfort, safety and sportiness this car is a very rewarding car to own ,it will make u smile every time you press gas","Interior quality and features, responsive steering, engine (torque @ low RPM, good power output), fuel consumption, spacious , cargo capacity, descent ride quality, DSG transmission (flawless), sound system , strong brakes ","Air conditioner not cool enough, brakes fatigue fast, reliability (high ownership cost)"
3.75,Psycho bunny,vadersv8 ,04/27/2011,,,4,4,4,3,,4,3,3,5,"Very fun car to drive, handles almost like a BMW until you realize you only have 200 ponies under the bonnet!Favorits: handeling, seat bolstering, practicality, gas mileage, moonroof, ninja star like factory 18' wheels. Dislikes: Lousy mechatronic issue, stereo is a big joke, low horse power, leather seats aren't plush, light electronic issues such as signal lights. Ugly black back bumper!!!","Handeling, seat bolstering, practicality, gas mileage, moonroof, ninja star like factory 18' wheels. ","Stereo, leather seats, more horse power, color code the back bumper."
4,"A Fun, Solid, Useful Little Package",PASNBYU ,09/08/2010,,,4,4,4,4,,4,4,4,4,"I'm coming up on my 3 yr ann. with my GTI and have only very few / minor complaints (see below) to go with my many miles of spirited driving.  Even though torque steer is non-existent, I've decided I just don't like FWD cars - the balance is just not there, especially at turn-in.  Luckily for VW (and me!), from what I've read, my wants / needs are all met with the 2012 GTI-R / Golf-R / R20.","* Love the DSG (but would like the selected gear to be displayed in Sport mode as well as manual). * Seats are always fabulous - as is the rest of the interior. * Smooth, strong, linear brakes. * 1 touch Up/Down on all windows. * Climatic HVAC controls.","* Radio: Change display's blue bkgd; allow steer wheel buttons to seek; allow Sirius song info scrolling; increase speed sens volume levels. * Rethink the fuel filler door release - maybe include w/driver door unlock? * Rethink wiper service position ""feature"". * Add a grey leather color option."
