3,Made a bad choice,Dave H ,09/09/2015,3,3,4,,,2,3,3,4,,,"Purchased the vehicle with 80,000 miles on the odometer.  Drove off the lot and the next morning discovered a problem.  After the car sits for an hour or more when you starting and put it into into gear the car rough idles and jerks.  I took the car back to the local VW dealer where I bought it.  The first repair attempt took 3 weeks because the dealer had now idea what the cause of the problem was.  They called the VW corporate tech support who told them to replace some part.  Did not solve the problem, but I got to pay $650 for the attempted repair.  The car is back in the shop (1 week now).  They still have no idea.",,
3,Maintenance is rough... but Lovely Look and Ride,Heather ,07/29/2015,2,4,3,,,1,4,4,4,,,"I purchased my Touareg used with just 50K miles. I was so impressed by the style, handling and features. I am short, 5' and I can see out of this SUV perfectly. I can get in and out and the seat adjusts wonderfully. It has nice appointments like a sun roof, leather seats, and rear heat and air. All of these bells and whistles; however, are costly to maintain and fix. Let's start with the smaller issues. The headlights frequently go out. They are $25 each and a major pain to install. As soon as I bought the car, it had to have a complete break job. $750. Some more major issues have included the radiator caps breaking and causing leaks and the transmission fluid lines breaking. The most major repair was the Drivetrain which went out at 65K. Had I not had the extended warranty it would have cost between $2,500-$3,000 to fix. Overall I love Volkswagens, and I love this car. My suggestion would be to buy with a warranty. Be aware that the maintenance costs are in line with any premium brand - Audi, Mercedes, BMW.",,
4,No Coincidence!!,TFH ,07/11/2015,1,4,4,,,1,5,4,4,,,"My 2008 Touareg 2 was in excellent condition, well maintained and well within a reasonable amount of miles. Minimum wear and tear. On July 3,2015 at just over 100k the drive shaft broke down!! ! 100k miles I said! Two days prior, I had performed an oil change and service at a local VW dealership located in Charleston SC. At 600 miles over 100k, the car crapped on me. I bought the vehicle used with under 40k miles and in certified pre owned condition(2012). Since then, I have had nothing but headaches and nightmares with what should be considered minor routine maintenance at the VW dealerships. Horn, Side view mirror, wipers, tire pressure sensors, airbag sensors, brakes, tires, headlight bulbs. You will not find a reliable VW dealership capable of servicing these basic needs. And if you do, prepare to spend and arm and a leg and tremendous amounts of time waiting! I have filed several claims with VW America who by the way in my opinion does a poor job standing behind their product. By the time I was finished cursing and screaming at anyone who came across my path, I was told the repairs would cost $1500.00 to repair. Remember now, the drivetrain warranty expired at 100k miles! A really hard and expensive reality to face. What to do? What places the mind goes when coincidence's like these occur unexpectedly. On top of no sense of urgency from the people who manufacture the product. Looking back on my experiences, I would advise anyone considering this vehicle to purchase as close to new as possible, if not, purchase the extended warranty. Other than that, find a German car specialist who has experience with these type of vehicles. I regret getting rid of  my Touareg in many ways however, the quality of the vehicle is undermined by both the dealerships inability to service and the manufacturer!",,
2,Very poor gas efficiency,bochencz ,07/21/2012,,,2,3,2,2,,2,2,1,2,"If you want to live at the gas station, go and get VW Touareg. Very poor poor poor gasoline efficiency. I don't recommend this car to anybody. It's not worth money you paid.",,
4,Beware the total cost of ownership!,jtmke ,01/17/2011,,,4,4,4,4,,5,5,2,4,"I have driven my Toureg for 39 months and 39K miles. The only reliability issue I have had has been the tailgate lift. After 36 months, the dealership finally showed me how to reset it myself. I was very disappointed by the $1k brake job and $600 tire replacement at 25K miles. This made my ""affordable"" lease payment not so affordable. I wasn't really expecting to put any maintenance costs into it for the first three years. I have loved driving this car. The base T2 is very nicely loaded, but I am happy to turn it in before anything else wears out. I will be switching to something with lower maintenance costs.","Great ride, beautiful styling! Lots of power with base V6. Huge improvement from previous V6. Base model is very nicely equipped. ","Brakes and tires wear out very quickly. My dealer was not sympathetic of this. Of course, mileage could be better in city driving. I always got 20-22 mpg on road trips, that's not too bad considering the weight of the vehicle"
3.75,get something else,omg ,10/24/2010,,,5,5,5,1,,3,5,1,5,"first of all i had to change brakes at 16000 miles .the 19"" tires stink, i blew 2 of them already.had timing chain replaced at 22000 miles",sexy interior and exterior,reliability
4.25,"Fun ""Mom"" Car",OnlyGerman4Me ,06/27/2010,,,5,5,5,5,,4,4,2,4,"I drove an Audi TT prior to purchasing my Touareg, but once I decided to start a family I knew it was time to say good-bye.  Coming from such a fun, sporty car, not just any replacement would do.  I wanted something attractive with great handling and good acceleration.  I also wanted some FEATURES.  My Touareg has not disappointed.   Any time I need a little extra power, I just throw her into Sport and take off.  Is she as fast as my TT?  No, but I don't expect that out of a SUV.  The dropoff is not as significant as what I experienced when I test drove the Audi Q7.   2 years in, I have had no problems with the car at all.  I just take it in every 10K miles for scheduled maintenance.","Handles like a car.  Good acceleration.  Great standard features like moonroof, parking assistance, power lift gate, etc.  I only added the lux package to get leather interior and heated seats to be satisfied. ","Although I paid more for my Touareg than my previous Audi, the service I receive when I go in for maintenance does not compare.  Your customers are spoiled to the ""perks"" of Mercedes, BMW, Audi, etc.  You have to spoil your Touareg customers - they paid for it!  Oh, and gas mileage.  It's poor."
4.75,LuvMy2008Touareg,BestSUV ,04/15/2010,,,5,5,5,5,,5,5,3,5,I enjoy my Touareg because it the easiest SUV that I've ever driven.  It actually drives like a sedan.  No other SUV that I've ever driven compares to my 2008 Touareg.  Handling both on and off road is superb.  Can't wait for the next model.,"Drivability, handling, park assist and many many more.  Everything automatic.",Better gas mileage
4.5,better than cayenne,gtnoe ,03/20/2010,,,5,5,5,5,,5,5,1,5,"Puts a smile on my face everytime I get in it, especially at night. Sold a 2004 v8 cayenne loaded to buy this. Maybe the only vehicle available that has a center and rear differential and can operate in 22"" of water. The key to this suv is, that like a Porsche, it has true dual air in and out. Quieter than cayenne and exterior looks better.","Backlit dash, ability to change the ride height, the suspension, and the transmission to suit individual drivers desires. The white gold color with porsche techno 22"" rims in hyper silver(precisely matches the vehicles trim)is a real peace of art.",
3.75,Should be better for the money,loreleipta ,02/26/2010,,,4,4,3,3,,4,4,4,4,"Traded a Durango for this. At first, I really enjoyed the Treg, but now extremely disappointed.  Every week a new dysfunctional symptom appears.  Sometimes the push button start doesn't work, the lift gait doesn't open or won't close, the transmission downshifts very hard, on and on.  Took to the dealership with a diary of the problems but was told the problems couldn't be duplicated.  Had to replace the tires under 20k miles with no help from VW of America. Are Pirelli tires really that cheap?! Felt the warranty should have covered part of the replacement.  I have started comparing vehicles to trade the VW.  Can't wait for it to go!!","Sirius sat radio, steering wheel controls","Better quality, reliability and service dept knowledge.  Shouldn't have to hear ""sorry, but we can't do any repairs until we hear from tech support at VW of America."""
