5,"We're  going 300,000 miles",Gregory ,09/13/2016,,,,,,,,3,,,,"Bought my 2009 Impala 5 years ago with  28,000 miles on certified  used car.  Currently  have 150,000 miles.   I really  have no  complaints.   Not much has gone  wrong.  Vacuum  leak, $350., rear bushings  that was causing  a clunking  noise in rear of car replaced,   and just replaced ecm computer for $650. Rest has been regular and scheduled maintenance.   Car still looks and drives like new.     I learned working at an oil change place, the most important  thing about car ownership  is to replace your fluids at recommend  intervals.  And change oil every 3 to 6 thousand  miles depending on usage.",,
4,Owned my 2009 since I purchased it brand new,Carm ,08/30/2016,5,5,5,,,5,5,5,4,,,"I have about 50,000 miles on the car now and overall, I am content with the car. I believe with any mechanical item you own, you need some basic skills to do minor repairs to avoid the dealership and a garage where you know nobody. Repairs made to date by me: gas pedal replacement ($80), vent door blend control ($40), rear power door lock replacement ($75). Repairs done by someone who I knew: Head gasket replacement (about $300 including parts, heard that other owners had the same problem). Transmission fluid change ($100 and recommended highly after 50K). That is all the repairs I have completed to date today and overall, I'm happy owning the car. Time will tell if I remain happy :-)",,
5,It delivers,Joe Novak ,06/10/2016,5,4,4,,,5,5,3,5,,,"It isn't sexy, it isn't fast.  Fuel economy is ok but not great.  More importantly, it's very comfortable, reasonably quiet, and spacious.  Most eimportantly, it's been reliable and inexpensive to operate.",,
5,Great Daily Driver!,Michael George ,04/30/2016,5,5,5,,,5,5,4,5,,,I've been using my 2009 LT impala for the past 4 years and other than a minor problem where one tire would consistently lose air pressure at a faster rate than the other tires I have not had a single problem. Fixing the tire issue also only took 1 day at the shop at an out cost of around $100. It definitely could be worse. Overall this car has served me extremely well whether I'm going to multi-day roadtrips or just driving in the city to school/work. I can't image what more I could ask for from a hand-me-down and I fully expect to use this car for atleast another 2 years before I look to trade it in for something a little faster and more fun.,,
2,Shame on you Chevy **SHAME SHAME SHAME,Don ,03/17/2016,,2,5,,,,,,5,,,"09 Impala, terrible engineering. And its no recall. It could be very expensive for some of you replacing sensors to finally replace the accelerator position sensor (pedal). I'm a tech and it had me stumped on my wife's car for 2 days. Did not buy or replace anything until I was sure I pinned it down. ""Reduce engine power"" ""Service Traction Control"" ""Engine Light"" codes P2122/P2138. Accelerator Position Pedal (APP) costed me $72 without any discount, 2 -10mm bolts & 5 minutes of my time. I'm a Chevy lover and this won't discourage me from any of my other Chevys or any future Chevys. Just don't believe it from the inside ""quality control"" side of it in our own American dealerships. ITS A REAL SHAME",,
1,what is wrong with chevrolet???,Catalinaaiden ,02/01/2016,,1,2,,,1,1,3,3,,,I hav 2009 impalla and have the same problem as everybody else the traction control light is dying on the freeway is not under warranty that they don't want to fix it the clicking noise in the dashboard went to dealership they wanted $950 to fix it and nothing is under warranty obviously is not something that the consumers are doing it's something that company did when they made this car but then they put a recall in for a key and needs to be redone but don't care about people having their vehicles dying on them on the freeway when they have children in the car can somebody answer me this question and what the hell is wrong with Chevrolet and why aren't they fixing these problems cuz everybody that has these cars have the same problem and what should we do,,
4,My father sure taught me impalas,Andi newsome ,01/24/2016,,3,5,,,5,4,4,5,,,"Low miles are best !!! 30,000 or less if you want to keep the car for long if you maintence it right shell do you good",,
2,Problems with this Chevy,Kellie Leonard ,09/01/2015,1,,3,,,1,3,2,3,,,"I purchased this car used back in 2010 with average miles.  Now on my 6th year everything is going wrong.  Here's what went wrong and not under warranty seeing the five (5) years are up:   1.) Car won't shift out of drive into park.  $300.00 visit to the Chevy Dealer to fix.  2.) ABS light, and reduced power light came on.  Another $350.00 trip to the Chevy Dealer.  3.) Now a load tapping noise from the glove box area.  Another $350.00 trip to the Chevy Dealer to fix.  2 of my 4 door locks don't work properly and my check air bag light is now going on.  I can only wonder how much more this will cost me!!!Very disappointed in the quality of my Chevy Impala.  Don't buy!",,
4.25,"At 78,000 miles, still drives like new",Melvin H Hoffman ,04/12/2015,,,4,5,4,5,,4,4,5,3,"I bought this car primarily because I needed a reliable, reasonable efficient and large vehicle. At a discount of more than 20% it has proved thus far to be a bargain. Just put on new tires and brakes (although still had some pad left). Have changed oil and filters regularly, otherwise just drive it and maintain it. Only problems have been minor: ventilation door in dash needed replacement ($70); Dash in front has a crack from Florida sun (not unusual), replacement is about $120; otherwise no problems whatsoever. I also own a Mercedes (with $120 plus oil changes, crazy) and I prefer to drive this vehicle. In overall use it has averages more than 26 mpg, mostly local mileage. ",,
3,First time owner of Impala,2011franf ,09/25/2014,,,4,2,4,3,,4,4,1,2," a friend who has a impala just like mind was having some issues with her car. on this edmunds.com site when i was reading some reviews about other people who had similiar issues with there impala.I was surprised to read the reviews..I purchased my impala in 2011 and one month later when driving home from work the check engine light, service traction control light, ABS light, service airbags light, and tire gage light all came on at the same time..needless to say i did not know what was going on. before I could get it into the shop the next day i was exiting the ramp to enter the freeway when suddenly the car accelerated on its own and slammed me into a brick wall. ",my favorite feature of the impala is the way the car was designed and style on the outside..that is what caught my eye.,"honestly i don't know what i would suggest for improvements for the impala..this was my first time owening one, so i never experience that before or with any other vehicle i have ever owened. I just will never forget this experience with this one..scary."
